1 1 1 f 29 	954.005937780	4.771e-05	193
1 1 1 e 30 	978.449082930	4.743e-05	196
1 1 1 f 30 	979.184760999	4.860e-05	171
0 0 1 e 48 	984.539481708	6.796e-05	190
1 1 1 e 31 	1004.416860866	4.836e-05	187
1 1 1 f 31 	1005.201521344	4.950e-05	176
0 0 1 e 49 	1025.519674990	7.126e-05	195
1 1 1 e 32 	1031.220871958	4.922e-05	174
1 1 1 f 32 	1032.056085480	5.042e-05	172
1 1 1 e 33 	1058.860973501	5.051e-05	167
1 1 1 f 33 	1059.748319058	5.204e-05	157
0 0 1 e 50 	1067.332660082	8.444e-05	186
1 1 1 e 34 	1087.337032734	5.163e-05	165
1 1 1 f 34 	1088.278070031	5.265e-05	179
0 0 1 e 51 	1109.978344534	8.659e-05	174
1 1 1 e 35 	1116.648899357	5.282e-05	145
1 1 1 f 35 	1117.645200459	5.346e-05	163
1 1 1 e 36 	1146.796422555	5.380e-05	153
1 1 1 f 36 	1147.849556923	5.542e-05	142
0 0 1 e 52 	1153.456418148	9.879e-05	183
2 0 1 e 0 	1168.132370337	4.653e-05	36
2 0 1 e 1 	1168.972206438	4.736e-05	91
2 0 1 e 2 	1170.651890943	4.540e-05	94
2 0 1 e 3 	1173.171383255	3.980e-05	94
2 0 1 e 4 	1176.530684900	2.931e-05	107
1 1 1 e 37 	1177.779449735	5.551e-05	141
1 1 1 f 37 	1178.890985217	5.641e-05	137
2 2 1 f 2 	1180.265316864	2.302e-05	49
2 2 1 e 2 	1180.265318127	7.820e-05	52
2 0 1 e 5 	1180.729754958	2.629e-05	110
2 2 1 f 3 	1182.786059145	2.317e-05	81
2 2 1 e 3 	1182.786060233	5.604e-05	91
2 0 1 e 6 	1185.768582730	2.028e-05	118
2 2 1 f 4 	1186.147024795	4.710e-05	74
2 2 1 e 4 	1186.147047305	2.678e-05	86
2 2 1 f 5 	1190.348199443	3.677e-05	85
2 2 1 e 5 	1190.348245322	2.388e-05	98
2 0 1 e 7 	1191.647120399	1.859e-05	122
2 2 1 f 6 	1195.389555566	3.259e-05	85
2 2 1 e 6 	1195.389653451	2.576e-05	96
0 0 1 e 53 	1197.766634444	1.112e-04	158
2 0 1 e 8 	1198.365342878	2.033e-05	124
2 2 1 f 7 	1201.271072907	2.924e-05	91
2 2 1 e 7 	1201.271249366	2.659e-05	104
2 0 1 e 9 	1205.923181244	2.226e-05	110
2 2 1 f 8 	1207.992721657	3.036e-05	80
2 2 1 e 8 	1207.993018299	2.803e-05	94
1 1 1 e 38 	1209.597818315	5.903e-05	130
1 1 1 f 38 	1210.769331386	5.831e-05	132
2 0 1 e 10 	1214.320591495	2.402e-05	126
